time	V(v_comp)	V(v_f)	V(v_ref)
1.955950000000000e-04	9.384885e-01	1.649997e+00	3.204532e+00
1.965950000000000e-04	9.384885e-01	1.649997e+00	3.207977e+00
1.975950000000000e-04	9.384885e-01	1.649997e+00	3.211360e+00
1.985950000000000e-04	9.384885e-01	1.649997e+00	3.214681e+00
1.995950000000000e-04	9.384885e-01	1.649997e+00	3.217941e+00
2.001001000000000e-04	9.384885e-01	1.649997e+00	3.219564e+00
2.002001000000000e-04	9.384885e-01	1.649997e+00	3.219883e+00
2.004001000000000e-04	9.384885e-01	1.649997e+00	3.220520e+00
2.008001000000000e-04	9.384885e-01	1.649997e+00	3.221787e+00
2.016001000000000e-04	9.384885e-01	1.649997e+00	3.224290e+00
2.026001000000000e-04	9.384885e-01	1.649997e+00	3.227363e+00
2.036001000000000e-04	9.384885e-01	1.649997e+00	3.230374e+00
2.046001000000000e-04	9.384885e-01	1.649997e+00	3.233323e+00
2.056001000000000e-04	9.384885e-01	1.649997e+00	3.236209e+00
2.066001000000000e-04	9.384885e-01	1.649997e+00	3.239033e+00
2.076001000000000e-04	9.384885e-01	1.649997e+00	3.241793e+00
2.086001000000000e-04	9.384885e-01	1.649997e+00	3.244491e+00
2.096001000000000e-04	9.384885e-01	1.649997e+00	3.247126e+00
2.101051000000000e-04	9.384885e-01	1.649997e+00	3.248433e+00
2.102051000000000e-04	9.384885e-01	1.649997e+00	3.248690e+00
2.104051000000000e-04	9.384885e-01	1.649997e+00	3.249202e+00
2.108051000000000e-04	9.384885e-01	1.649997e+00	3.250217e+00
2.116051000000000e-04	9.384885e-01	1.649997e+00	3.252219e+00
2.126051000000000e-04	9.384885e-01	1.649997e+00	3.254664e+00
2.136051000000000e-04	9.384885e-01	1.649997e+00	3.257046e+00
2.146051000000000e-04	9.384885e-01	1.649997e+00	3.259365e+00
2.156051000000000e-04	9.384885e-01	1.649997e+00	3.261620e+00
2.166051000000000e-04	9.384885e-01	1.649997e+00	3.263811e+00
2.176051000000000e-04	9.384885e-01	1.649997e+00	3.265938e+00
2.186051000000000e-04	9.384885e-01	1.649997e+00	3.268002e+00
2.196051000000000e-04	9.384885e-01	1.649997e+00	3.270002e+00
2.201101000000000e-04	9.384885e-01	1.649997e+00	3.270988e+00
2.202101000000000e-04	9.384885e-01	1.649997e+00	3.271181e+00
2.204101000000000e-04	9.384885e-01	1.649997e+00	3.271565e+00
2.208101000000000e-04	9.384885e-01	1.649997e+00	3.272327e+00
2.216101000000000e-04	9.384885e-01	1.649997e+00	3.273819e+00
2.226101000000000e-04	9.384885e-01	1.649997e+00	3.275626e+00
2.236101000000000e-04	9.384885e-01	1.649997e+00	3.277369e+00
2.246101000000000e-04	9.384885e-01	1.649997e+00	3.279048e+00
2.256101000000000e-04	9.384885e-01	1.649997e+00	3.280663e+00
2.266101000000000e-04	9.384885e-01	1.649997e+00	3.282214e+00
2.276101000000000e-04	9.384885e-01	1.649997e+00	3.283700e+00
2.286101000000000e-04	9.384885e-01	1.649997e+00	3.285121e+00
2.296101000000000e-04	9.384885e-01	1.649997e+00	3.286478e+00
2.301151000000000e-04	9.384885e-01	1.649997e+00	3.287138e+00
2.302151000000000e-04	9.384885e-01	1.649997e+00	3.287267e+00
2.304151000000000e-04	9.384885e-01	1.649997e+00	3.287523e+00
2.308151000000000e-04	9.384885e-01	1.649997e+00	3.288027e+00
2.316151000000000e-04	9.384885e-01	1.649997e+00	3.289004e+00
2.326151000000000e-04	9.384885e-01	1.649997e+00	3.290166e+00
2.336151000000000e-04	9.384885e-01	1.649997e+00	3.291264e+00
2.346151000000000e-04	9.384885e-01	1.649997e+00	3.292297e+00
2.356151000000000e-04	9.384885e-01	1.649997e+00	3.293265e+00
2.366151000000000e-04	9.384885e-01	1.649997e+00	3.294168e+00
2.376151000000000e-04	9.384885e-01	1.649997e+00	3.295007e+00
2.386151000000000e-04	9.384885e-01	1.649997e+00	3.295780e+00
2.396151000000000e-04	9.384885e-01	1.649997e+00	3.296489e+00
2.401201000000000e-04	9.384885e-01	1.649997e+00	3.296822e+00
2.402201000000000e-04	9.384885e-01	1.649997e+00	3.296886e+00
2.404201000000000e-04	9.384885e-01	1.649997e+00	3.297012e+00
2.408201000000000e-04	9.384885e-01	1.649997e+00	3.297256e+00
2.416201000000000e-04	9.384885e-01	1.649997e+00	3.297713e+00
2.426201000000000e-04	9.384885e-01	1.649997e+00	3.298227e+00
2.436201000000000e-04	9.384885e-01	1.649997e+00	3.298675e+00
2.446201000000000e-04	9.384885e-01	1.649997e+00	3.299057e+00
2.456201000000000e-04	9.384885e-01	1.649997e+00	3.299375e+00
2.466201000000001e-04	9.384885e-01	1.649997e+00	3.299628e+00
2.476201000000001e-04	9.384885e-01	1.649997e+00	3.299815e+00
2.486201000000001e-04	9.384885e-01	1.649997e+00	3.299938e+00
2.496201000000001e-04	9.384885e-01	1.649997e+00	3.299995e+00
2.501251000000000e-04	9.384885e-01	1.649997e+00	3.299999e+00
2.502251000000000e-04	9.384885e-01	1.649997e+00	3.299998e+00
2.504251000000000e-04	9.384885e-01	1.649997e+00	3.299994e+00
2.508251000000000e-04	9.384885e-01	1.649997e+00	3.299978e+00
2.516251000000000e-04	9.384885e-01	1.649997e+00	3.299914e+00
2.526251000000001e-04	9.384885e-01	1.649997e+00	3.299776e+00
2.536251000000001e-04	9.384885e-01	1.649997e+00	3.299572e+00
2.546251000000001e-04	9.384886e-01	1.649997e+00	3.299303e+00
2.556251000000001e-04	9.384886e-01	1.649997e+00	3.298970e+00
2.566251000000002e-04	9.384886e-01	1.649997e+00	3.298571e+00
2.576251000000002e-04	9.384886e-01	1.649997e+00	3.298107e+00
2.586251000000002e-04	9.384886e-01	1.649997e+00	3.297578e+00
2.596251000000002e-04	9.384886e-01	1.649997e+00	3.296983e+00
2.601301000000000e-04	9.384886e-01	1.649997e+00	3.296659e+00
2.602301000000000e-04	9.384886e-01	1.649997e+00	3.296593e+00
2.604301000000000e-04	9.384886e-01	1.649997e+00	3.296458e+00
2.608301000000000e-04	9.384886e-01	1.649997e+00	3.296181e+00
2.616301000000000e-04	9.384886e-01	1.649997e+00	3.295597e+00
2.626301000000001e-04	9.384886e-01	1.649997e+00	3.294807e+00
2.636301000000001e-04	9.384886e-01	1.649997e+00	3.293953e+00
2.646301000000001e-04	9.384886e-01	1.649997e+00	3.293034e+00
2.656301000000001e-04	9.384886e-01	1.649997e+00	3.292050e+00
2.666301000000002e-04	9.384886e-01	1.649997e+00	3.291001e+00
2.676301000000002e-04	9.384886e-01	1.649997e+00	3.289887e+00
2.686301000000002e-04	9.384886e-01	1.649997e+00	3.288709e+00
2.696301000000002e-04	9.384886e-01	1.649997e+00	3.287466e+00
2.701351000000000e-04	9.384886e-01	1.649997e+00	3.286813e+00
2.702351000000000e-04	9.384886e-01	1.649997e+00	3.286682e+00
2.704351000000000e-04	9.384886e-01	1.649997e+00	3.286418e+00
2.708351000000000e-04	9.384886e-01	1.649997e+00	3.285882e+00
2.716351000000000e-04	9.384886e-01	1.649997e+00	3.284778e+00
2.726351000000001e-04	9.384886e-01	1.649997e+00	3.283341e+00
2.736351000000001e-04	9.384886e-01	1.649997e+00	3.281839e+00
2.746351000000001e-04	9.384886e-01	1.649997e+00	3.280273e+00
2.756351000000001e-04	9.384886e-01	1.649997e+00	3.278643e+00
2.766351000000002e-04	9.384886e-01	1.649997e+00	3.276948e+00
